InvoiceNo,InvoiceDate,CustomerID,CustomerSince,Country,PaymentMethod,Channel,StockCode,Description,Category,SubCategory,Quantity,UnitPrice,DiscountPct,PromoCode,TotalAmount
INV100521,2024-04-16 12:20:16,C1128,2019-01-25,United Kingdom,Debit Card,Online,P013,Backpack,Accessories,Bags,2,96.99,0.0,,193.98
INV100737,2023-12-29 08:14:27,C1116,2018-11-12,United States,Debit Card,Online,P013,Backpack,Accessories,Bags,3,96.99,0.0,,290.96999999999997
INV100740,2023-04-22 12:36:13,C1276,2018-09-21,United Kingdom,Credit Card,Online,P007,Headphones,Electronics,Audio,4,53.87,0.0,WELCOME5,215.48
INV100660,2024-12-13 21:44:50,C1339,2021-01-18,United States,Credit Card,Online,P007,Headphones,Electronics,Audio,1,53.87,0.0,NEW10,53.87
INV100411,2024-10-02 01:07:40,C1252,2018-05-29,United States,Credit Card,Online,P020,HDMI Cable,Electronics,Accessories,2,145.37,0.2,,232.592
INV100678,2022-03-01 00:25:26,C1138,2019-05-29,United States,PayPal,Online,P004,Notebook,Office Supplies,Stationery,3,32.42,0.25,,72.94500000000001
INV100626,2024-03-07 20:52:14,C1027,2018-09-14,France,Debit Card,Online,P010,Monitor 24in,Electronics,Displays,3,73.71,0.0,,221.13
INV100513,2024-07-06 07:45:06,C1230,2019-06-28,United Kingdom,Cash,Online,P018,Mouse Pad,Accessories,Accessories,2,130.35,0.05,,247.66499999999996
INV100859,2024-06-15 16:23:59,C1357,2019-02-24,United Kingdom,PayPal,Offline,P014,Smart Speaker,Electronics,Audio,2,102.93,0.0,SUMMER20,205.86
INV100136,2024-11-16 05:13:30,C1107,2019-03-12,United Kingdom,Credit Card,Online,P006,Mechanical Keyboard,Electronics,Accessories,3,47.71,0.0,WELCOME5,143.13
INV100811,2024-07-30 05:06:46,C1269,2019-08-21,United Kingdom,Debit Card,Offline,P008,Webcam,Electronics,Accessories,4,62.13,0.05,,236.094
INV100076,2024-05-15 09:14:00,C1095,2021-01-11,France,Credit Card,Online,P007,Headphones,Electronics,Audio,1,53.87,0.25,SUMMER20,40.402499999999996
INV100636,2024-09-04 16:32:45,C1337,2021-03-26,United Kingdom,Debit Card,Online,P013,Backpack,Accessories,Bags,1,96.99,0.0,,96.99
INV100973,2024-01-03 07:34:11,C1007,2018-04-27,India,Credit Card,Online,P017,Standing Desk,Furniture,Desks,1,126.42,0.2,,101.13600000000001
INV100938,2022-02-10 22:01:20,C1093,2018-04-25,Germany,Credit Card,Online,P013,Backpack,Accessories,Bags,2,96.99,0.05,,184.28099999999998
INV100899,2023-09-18 07:57:35,C1380,2019-10-07,United Kingdom,PayPal,Online,P019,Planner 2024,Office Supplies,Stationery,2,136.97,0.1,,246.546
INV100280,2022-12-08 17:24:09,C1286,2019-12-29,United States,Credit Card,Online,P016,Coffee Mug,Home,Kitchen,1,119.76,0.15,,101.796
INV100883,2022-04-15 00:39:33,C1274,2018-08-17,United Kingdom,PayPal,Offline,P008,Webcam,Electronics,Accessories,2,62.13,0.0,,124.26
INV100761,2024-09-11 10:57:22,C1144,2018-08-08,Germany,Credit Card,Offline,P004,Notebook,Office Supplies,Stationery,2,32.42,0.1,,58.356
INV100319,2024-07-05 16:54:14,C1085,2022-03-12,United States,Credit Card,Online,P013,Backpack,Accessories,Bags,2,96.99,0.25,,145.48499999999999
INV100549,2024-08-06 10:39:37,C1164,2021-02-27,Germany,Debit Card,Offline,P006,Mechanical Keyboard,Electronics,Accessories,3,47.71,0.0,SUMMER20,143.13
INV100174,2022-11-05 19:44:00,C1368,2019-02-07,France,PayPal,Offline,P005,Office Chair,Furniture,Seating,1,42.19,0.0,WELCOME5,42.19
INV100371,2023-04-04 02:43:09,C1320,2020-11-25,United Kingdom,Debit Card,Online,P008,Webcam,Electronics,Accessories,1,62.13,0.3,VIP15,43.491
INV100527,2023-06-23 23:40:32,C1167,2018-05-24,United Kingdom,Bank Transfer,Online,P004,Notebook,Office Supplies,Stationery,3,32.42,0.1,WELCOME5,87.534
INV100210,2022-11-07 07:49:50,C1343,2018-11-09,United States,Debit Card,Online,P008,Webcam,Electronics,Accessories,3,62.13,0.0,,186.39000000000001
